P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file,avg_radius,avg_charge,avg_field_strength
40.0,0.0,20.0,0.0,5.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.63,413.0,4.107712125533861e-10,84.86145205,data.xlsx,0.684,3.0,16.34907103038065
40.0,0.0,17.5,0.0,7.5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.62,409.0,2.8521344870234806e-10,88.95048635,data.xlsx,0.70525,2.95,16.09519959260028
40.0,0.0,15.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.61,404.0,1.7435323106112087e-10,92.9652272,data.xlsx,0.7265,2.9,15.841328154819912
40.0,0.0,12.5,0.0,12.5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.6,395.0,1.0444075435842708e-10,98.4610128,data.xlsx,0.74775,2.85,15.58745671703954
40.0,0.0,10.0,0.0,15.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.59,381.0,1.472312502432714e-10,95.0338656,data.xlsx,0.769,2.8,15.333585279259172
60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,503.0,,,data.xlsx,0.48400000000000004,4.2,23.705310768698062
59.0,0.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,499.0,,,data.xlsx,0.5014,4.14,23.296310188765553
58.0,0.0,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,498.0,,,data.xlsx,0.5187999999999999,4.08,22.88730960883304
56.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,512.0,,,data.xlsx,0.5536,3.96,22.069308448968012
54.0,0.0,0.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,517.0,,,data.xlsx,0.5884,3.84,21.251307289102982
51.0,0.0,0.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,535.0,,,data.xlsx,0.6406000000000001,3.66,20.02430554930545
48.0,0.0,0.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,537.0,,,data.xlsx,0.6928,3.48,18.797303809507916
45.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,531.0,,,data.xlsx,0.745,3.3,17.57030206971038
42.0,0.0,0.0,22.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,509.0,,,data.xlsx,0.7972,3.12,16.34330032991284
40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,3.03,389.0,6.21e-08,57.891,data.xlsx,0.56,4.1,19.369806094182824
40.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,0.0,3.33,432.0,2.1e-08,59.8207,data.xlsx,0.5640000000000001,3.8,18.435561302516156
40.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,3.15,446.0,7.46e-09,61.7504,data.xlsx,0.568,3.5,17.50131651084949
40.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,433.0,1.33e-07,38.594,data.xlsx,0.5720000000000001,3.2,16.567071719182824
37.8,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,32.3,0.0,3.06,369.0,1.32e-09,65.6098,data.xlsx,0.6420420420420421,4.130130130130131,18.777181470892927
37.5,0.0,0.0,8.8,0.0,0.0,0.0,34.6,0.0,0.0,19.3,0.0,3.35,450.0,4.05e-10,66.57464999999999,data.xlsx,0.6662075848303394,3.6357285429141717,17.144238381149002
37.6,0.0,0.0,19.3,0.0,0.0,0.0,31.7,0.0,0.0,11.4,0.0,3.21,494.0,2.2e-10,59.8207,data.xlsx,0.65814,3.4599999999999995,16.637655304119892
37.5,0.0,0.0,30.1,0.0,0.0,0.0,32.3,0.0,0.0,0.0,0.0,3.05,492.0,1.44e-09,55.9613,data.xlsx,0.6652652652652654,3.1041041041041044,15.515327230256418
50.9,0.0,0.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,3.02,495.0,1.94e-13,64.64495000000001,data.xlsx,0.48310999999999993,5.4910000000000005,26.087739059922445
43.1,0.0,0.0,0.0,0.0,0.0,56.9,0.0,0.0,0.0,0.0,0.0,3.17,585.0,2.13e-12,59.8207,data.xlsx,0.49949,5.569,24.731349287505346
39.1,0.0,0.0,0.0,0.0,0.0,60.9,0.0,0.0,0.0,0.0,0.0,3.24,505.0,4.96e-10,52.1019,data.xlsx,0.5078900000000001,5.609,24.035764788829912
30.2,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,0.0,0.0,3.32,431.0,9.84e-12,55.9613,data.xlsx,0.5265799999999999,5.6979999999999995,22.488089279277055
19.8,0.0,0.0,0.0,0.0,0.0,80.2,0.0,0.0,0.0,0.0,0.0,3.57,382.0,1.02e-11,61.7504,data.xlsx,0.54842,5.8020000000000005,20.679569582720923
