P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file
40.0,0.0,20.0,0.0,5.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.63,413.0,4.1077121255338613e-10,84.86145205,data.xlsx
40.0,0.0,17.5,0.0,7.5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.62,409.0,2.8521344870234806e-10,88.95048635,data.xlsx
40.0,0.0,15.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.61,404.0,1.743532310611209e-10,92.9652272,data.xlsx
40.0,0.0,12.5,0.0,12.5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.6,395.0,1.0444075435842709e-10,98.4610128,data.xlsx
40.0,0.0,10.0,0.0,15.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.59,381.0,1.472312502432714e-10,95.0338656,data.xlsx
60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,503.0,,,data.xlsx
59.0,0.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,499.0,,,data.xlsx
58.0,0.0,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,498.0,,,data.xlsx
56.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,512.0,,,data.xlsx
54.0,0.0,0.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,517.0,,,data.xlsx
51.0,0.0,0.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,535.0,,,data.xlsx
48.0,0.0,0.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,537.0,,,data.xlsx
45.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,531.0,,,data.xlsx
42.0,0.0,0.0,22.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,509.0,,,data.xlsx
40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,3.03,389.0,6.21e-08,57.891,data.xlsx
40.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,0.0,3.33,432.0,2.1e-08,59.8207,data.xlsx
40.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,3.15,446.0,7.46e-09,61.7504,data.xlsx
40.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,433.0,1.33e-07,38.594,data.xlsx
37.8,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,32.3,0.0,3.06,369.0,1.32e-09,65.6098,data.xlsx
37.5,0.0,0.0,8.8,0.0,0.0,0.0,34.6,0.0,0.0,19.3,0.0,3.35,450.0,4.05e-10,66.57464999999999,data.xlsx
37.6,0.0,0.0,19.3,0.0,0.0,0.0,31.7,0.0,0.0,11.4,0.0,3.21,494.0,2.2e-10,59.8207,data.xlsx
37.5,0.0,0.0,30.1,0.0,0.0,0.0,32.3,0.0,0.0,0.0,0.0,3.05,492.0,1.44e-09,55.961299999999994,data.xlsx
50.9,0.0,0.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,3.02,495.0,1.94e-13,64.64495000000001,data.xlsx
43.1,0.0,0.0,0.0,0.0,0.0,56.9,0.0,0.0,0.0,0.0,0.0,3.17,585.0,2.13e-12,59.8207,data.xlsx
39.1,0.0,0.0,0.0,0.0,0.0,60.9,0.0,0.0,0.0,0.0,0.0,3.24,505.0,4.96e-10,52.1019,data.xlsx
30.2,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,0.0,0.0,3.32,431.0,9.84e-12,55.961299999999994,data.xlsx
19.8,0.0,0.0,0.0,0.0,0.0,80.2,0.0,0.0,0.0,0.0,0.0,3.57,382.0,1.02e-11,61.7504,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.9,460.0,,,data.xlsx
45.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,45.0,3.08,452.0,,,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,3.2,448.0,,,data.xlsx
35.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,35.0,3.34,443.0,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,30.0,3.44,430.0,,,data.xlsx
25.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,3.54,413.0,,,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,20.0,3.65,388.0,,,data.xlsx
15.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,15.0,3.78,368.0,,,data.xlsx
70.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,2.72,,,,data.xlsx
60.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,2.95,482.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,3.03,538.0,,,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,10.0,3.11,487.0,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,3.31,415.0,,,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,10.0,3.56,391.0,,,data.xlsx
70.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,2.72,,,,data.xlsx
60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,2.74,386.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,3.0,492.0,,,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,3.2,448.0,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,3.72,449.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.9,460.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,2.96,440.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,30.0,3.0,492.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,3.02,514.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,3.03,536.0,,,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3.03,530.0,,,data.xlsx
56.8,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,2.35,263.0,2.39e-11,87.80135,data.xlsx
47.2,0.0,0.0,0.0,0.0,43.6,9.2,0.0,0.0,0.0,0.0,0.0,2.53,314.0,6.2e-11,83.94195,data.xlsx
37.8,0.0,0.0,0.0,0.0,41.4,20.8,0.0,0.0,0.0,0.0,0.0,2.75,353.0,1.9e-09,71.3989,data.xlsx
30.3,0.0,0.0,0.0,0.0,40.7,29.0,0.0,0.0,0.0,0.0,0.0,2.96,379.0,3.6e-08,61.7504,data.xlsx
20.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,3.25,355.0,1.76e-07,55.961299999999994,data.xlsx
10.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,3.41,270.0,1.41e-07,53.066750000000006,data.xlsx
60.1,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,2.43,161.0,1.05e-12,96.485,data.xlsx
50.9,0.0,0.0,0.0,0.0,0.0,9.3,39.8,0.0,0.0,0.0,0.0,2.62,260.0,5.07e-12,89.73105000000001,data.xlsx
41.5,0.0,0.0,0.0,0.0,0.0,19.0,39.5,0.0,0.0,0.0,0.0,2.8,329.0,7.59e-10,68.50435,data.xlsx
32.2,0.0,0.0,0.0,0.0,0.0,28.4,39.4,0.0,0.0,0.0,0.0,3.04,380.0,2.28e-09,62.715250000000005,data.xlsx
21.58,0.0,0.0,0.0,0.0,0.0,38.4,39.8,0.0,0.0,0.0,0.0,3.24,346.0,8.67e-10,65.6098,data.xlsx
12.0,0.0,0.0,0.0,0.0,0.0,48.2,39.8,0.0,0.0,0.0,0.0,3.4,282.0,8e-11,66.57464999999999,data.xlsx
60.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.1205,,,,data.xlsx
59.5,0.5,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5759,,,81.0474,data.xlsx
59.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6032,,,94.5553,data.xlsx
58.5,1.5,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6319,,,82.01225,data.xlsx
58.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6412,,,88.7662,data.xlsx
57.5,2.5,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,2.6547,,,91.66075,data.xlsx
47.8,0.0,0.0,0.0,41.9,0.0,0.0,0.0,10.3,0.0,0.0,0.0,2.7,485.0,2.92e-09,81.0474,data.xlsx
42.9,0.0,0.0,0.0,36.7,0.0,0.0,0.0,20.4,0.0,0.0,0.0,2.93,562.0,1.83e-09,79.1177,data.xlsx
37.0,0.0,0.0,0.0,31.6,0.0,0.0,0.0,31.4,0.0,0.0,0.0,3.19,687.0,1.63e-10,82.01225,data.xlsx
32.7,0.0,0.0,0.0,28.9,0.0,0.0,0.0,38.4,0.0,0.0,0.0,3.38,738.0,1.58e-12,95.52015,data.xlsx
26.8,0.0,0.0,0.0,26.2,0.0,0.0,0.0,47.0,0.0,0.0,0.0,3.61,739.0,4.89e-13,98.4147,data.xlsx
65.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.4,254.0,4.63e-12,82.9771,data.xlsx
60.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,2.55,291.0,3.43e-11,76.22315,data.xlsx
55.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,2.66,340.0,1.81e-10,69.4692,data.xlsx
50.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,2.78,380.0,1.68e-09,61.7504,data.xlsx
45.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,2.94,470.0,1.08e-08,55.961299999999994,data.xlsx
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,3.1,545.0,1.14e-08,54.031600000000005,data.xlsx
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0,3.27,587.0,1e-08,53.066750000000006,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,3.34,620.0,3.57e-09,54.996449999999996,data.xlsx
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,0.0,3.58,631.0,2.24e-09,54.996449999999996,data.xlsx
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,0.0,0.0,0.0,3.76,645.0,4.27e-10,58.85585,data.xlsx
24.3,0.0,0.0,0.0,0.0,0.0,0.0,51.0,24.7,0.0,0.0,0.0,3.33,500.0,,,data.xlsx
36.6,0.0,0.0,0.0,0.0,0.0,0.0,50.7,12.7,0.0,0.0,0.0,2.91,405.0,,,data.xlsx
29.1,0.0,0.0,0.0,0.0,0.0,0.0,55.6,15.3,0.0,0.0,0.0,3.05,423.0,,,data.xlsx
29.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,12.5,0.0,0.0,0.0,2.98,407.0,,,data.xlsx
29.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,19.9,0.0,0.0,0.0,3.17,467.0,,,data.xlsx
29.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.5,0.0,0.0,0.0,3.4,518.0,,,data.xlsx
34.6,0.0,0.0,0.0,0.0,0.0,0.0,49.9,15.5,0.0,0.0,0.0,2.99,430.0,,,data.xlsx
41.7,0.0,0.0,0.0,0.0,0.0,0.0,50.5,7.7,0.0,0.0,0.0,2.75,340.0,,,data.xlsx
40.7,0.0,0.0,0.0,0.0,0.0,0.0,46.6,12.7,0.0,0.0,0.0,2.87,390.0,,,data.xlsx
46.3,0.0,0.0,0.0,0.0,0.0,0.0,40.7,12.9,0.0,0.0,0.0,2.83,382.0,,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,3.27,564.0,2.0892961308540368e-08,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,0.0,0.0,0.0,3.15,530.0,4.786300923226378e-08,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,3.07,493.0,6.7608297539198e-08,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,15.0,0.0,0.0,0.0,2.94,441.0,9.772372209558102e-08,,data.xlsx
30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,2.83,386.0,1.5848931924611122e-07,,data.xlsx
55.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.54,413.0,5.93e-10,65.6098,data.xlsx
50.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,2.67,439.0,6.21e-10,63.6801,data.xlsx
45.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,2.81,476.0,1.58e-09,59.8207,data.xlsx
40.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,2.94,512.0,2.1e-09,57.891,data.xlsx
35.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,3.09,555.0,3.44e-09,56.92615,data.xlsx
30.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,3.23,573.0,2.3e-09,56.92615,data.xlsx
25.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0,3.38,578.0,1.34e-09,57.891,data.xlsx
